名称	部件	掉落遗物	杜卡德金币
Gyre Prime	机体蓝图	后纪T13（罕见）	100
Gyre Prime	头部神经光元蓝图	古纪G14（稀有）	45
Gyre Prime	系统蓝图	前纪E7（常见）, 前纪V14（常见）	15
Harrow Prime	蓝图	古纪P6（罕见）, 后纪K6（罕见）, 中纪L3（罕见）, 中纪N21（罕见）, 中纪G5（罕见）, 古纪S15（罕见）, 古纪B11（罕见）	100
Harrow Prime	机体蓝图	后纪N10（常见）, 中纪T7（常见）, 前纪O5（常见）, 前纪P11（常见）, 前纪N13（常见）, 前纪G3（常见）, 后纪S15（常见）	15
Harrow Prime	头部神经光元蓝图	后纪S12（罕见）, 后纪A16（罕见）, 后纪T8（罕见）, 前纪P10（罕见）, 古纪R3（罕见）, 古纪B10（罕见）, 前纪C8（罕见）, 后纪T11（罕见）	100
Harrow Prime	系统蓝图	古纪H4（稀有）, 后纪H7（稀有）, 古纪H10（稀有）, 古纪H7（稀有）, 古纪H5（稀有）, 古纪H3（稀有）, 前纪H4（稀有）, 前纪H2（稀有）	45
赫利俄斯 Prime	蓝图	前纪Z1（罕见）, 古纪V4（罕见）, 中纪M1（罕见）, 前纪C3（罕见）, 前纪E5（罕见）, 古纪C3（罕见）, 古纪N2（罕见）, 中纪K1（罕见）	100
赫利俄斯 Prime	外壳	中纪V5（常见）, 古纪P1（常见）, 中纪N5（常见）, 前纪S6（常见）, 中纪S7（常见）, 古纪K5（常见）, 前纪E5（常见）, 后纪A3（常见）, 后纪C3（常见）, 后纪H3（常见）	15
赫利俄斯 Prime	头部	前纪H1（稀有）, 后纪H1（稀有）, 后纪H5（稀有）, 古纪H2（稀有）, 古纪H1（稀有）, 后纪H2（稀有）	45
赫利俄斯 Prime	系统	后纪N5（罕见）, 后纪O2（罕见）, 古纪Z2（罕见）, 古纪V3（罕见）, 前纪D2（罕见）, 后纪A12（罕见）	100
飞扬Prime	蓝图	后纪S8（常见）, 古纪S1（常见）, 前纪N2（常见）, 中纪R1（常见）	15
飞扬Prime	镖袋	古纪C7（常见）, 后纪K1（常见）, 前纪N6（常见）, 后纪V2（常见）	15
飞扬Prime	星镖	后纪V10（常见）, 古纪F2（常见）, 中纪N1（常见）, 后纪S3（常见）	15
Hildryn Prime	蓝图	后纪H8（稀有）, 前纪H7（稀有）, 后纪H6（稀有）, 前纪H5（稀有）, 中纪H4（稀有）	45
Hildryn Prime	机体蓝图	中纪G7（罕见）, 前纪G10（罕见）, 后纪A18（罕见）, 后纪L6（罕见）, 中纪Q1（罕见）, 前纪P11（罕见）	100
Hildryn Prime	头部神经光元蓝图	中纪C4（罕见）, 中纪S17（罕见）, 中纪P7（罕见）, 后纪W4（罕见）, 前纪P14（罕见）, 古纪G10（罕见）, 古纪M9（罕见）	100
Hildryn Prime	系统蓝图	古纪P9（常见）, 古纪H8（常见）, 后纪S17（常见）, 后纪T12（常见）, 古纪A6（常见）, 后纪S19（常见）, 古纪W3（常见）, 中纪S18（常见）, 前纪C9（常见）, 后纪P6（常见）	15
Hydroid Prime	蓝图	前纪Z2（罕见）, 前纪N5（罕见）, 前纪B2（罕见）, 中纪A6（罕见）, 后纪K5（罕见）	100
Hydroid Prime	机体蓝图	古纪R1（常见）, 前纪H1（常见）, 中纪S11（常见）, 中纪S8（常见）, 后纪C4（常见）, 中纪B4（常见）, 中纪N8（常见）, 后纪C3（常见）	15
Hydroid Prime	头部神经光元蓝图	后纪N4（罕见）, 后纪M3（罕见）, 中纪G1（罕见）, 后纪A3（罕见）	100
Hydroid Prime	系统蓝图	中纪H1（稀有）, 后纪H4（稀有）, 中纪H2（稀有）, 中纪H3（稀有）, 后纪H3（稀有）	45
豪猪Prime	枪管	前纪W3（常见）, 古纪N14（常见）, 前纪R5（常见）, 中纪G4（常见）, 后纪G13（常见）, 古纪S15（常见）, 前纪K6（常见）, 后纪P6（常见）	15
豪猪Prime	蓝图	后纪G10（罕见）, 后纪B7（罕见）, 中纪C5（罕见）, 中纪K6（罕见）, 后纪K9（罕见）	100
豪猪Prime	枪机	古纪H8（稀有）, 古纪H6（稀有）, 古纪H9（稀有）, 前纪H3（稀有）, 前纪H8（稀有）, 前纪H6（稀有）	45
Inaros Prime	蓝图	前纪N12（罕见）, 古纪G4（罕见）, 后纪K12（罕见）, 古纪N10（罕见）, 后纪W2（罕见）, 后纪W1（罕见）	100
Inaros Prime	机体蓝图	后纪K6（罕见）, 中纪P3（罕见）, 后纪O5（罕见）, 中纪A10（罕见）, 古纪H4（罕见）, 中纪V10（罕见）, 中纪T3（罕见）, 古纪N6（罕见）	100
Inaros Prime	头部神经光元蓝图	后纪I3（稀有）, 后纪I1（稀有）, 后纪I2（稀有）, 前纪I2（稀有）, 前纪I1（稀有）	45
Inaros Prime	系统蓝图	中纪K4（常见）, 中纪N13（常见）, 中纪T5（常见）, 后纪T7（常见）, 古纪M6（常见）, 后纪G7（常见）, 前纪C7（常见）, 后纪A13（常见）	15
Ivara Prime	蓝图	古纪N7（罕见）, 后纪B4（罕见）, 古纪B8（罕见）, 古纪N4（罕见）, 前纪N9（罕见）, 古纪N5（罕见）, 后纪S13（罕见）	100
Ivara Prime	机体蓝图	中纪I3（稀有）, 中纪I2（稀有）, 中纪I1（稀有）, 古纪I1（稀有）	45
Ivara Prime	头部神经光元蓝图	前纪N10（常见）, 前纪C4（常见）, 前纪D6（常见）, 中纪T4（常见）, 古纪D3（常见）, 中纪M3（常见）, 前纪O6（常见）, 前纪B5（常见）	15
Ivara Prime	系统蓝图	后纪A9（罕见）, 前纪P2（罕见）, 古纪A4（罕见）, 古纪T7（罕见）, 后纪A15（罕见）, 后纪C6（罕见）	100
凯洛斯特Prime	刀刃	后纪K6（稀有）, 后纪K12（稀有）, 古纪K7（稀有）, 古纪K6（稀有）, 前纪K3（稀有）	45
凯洛斯特Prime	蓝图	后纪I3（常见）, 中纪S14（常见）, 后纪G6（常见）, 中纪P4（常见）, 前纪I2（常见）, 后纪C6（常见）, 前纪B5（常见）, 前纪P3（常见）, 后纪K7（常见）	15
凯洛斯特Prime	握柄	后纪A14（罕见）, 古纪T4（罕见）, 后纪B4（罕见）, 前纪C7（罕见）, 前纪G3（罕见）, 中纪A5（罕见）, 古纪I1（罕见）, 中纪N20（罕见）	100
喀婆萨Prime	项圈带	古纪C1（罕见）, 古纪S2（罕见）, 古纪S6（罕见）, 中纪N12（罕见）, 前纪V3（罕见）, 古纪L3（罕见）, 古纪N2（罕见）	100
喀婆萨Prime	项圈扣	后纪K1（稀有）, 古纪K4（稀有）, 中纪S6（罕见）, 古纪K1（稀有）, 古纪K8（稀有）, 后纪B1（罕见）	45
Kubrow Collar Blueprint	前纪P6（罕见）, 古纪S4（罕见）, 后纪G1（罕见）, 中纪N1（罕见）, 后纪S7（罕见）	100
红隼Prime	刀刃	古纪C14（常见）, 古纪D7（常见）	15
红隼Prime	蓝图	中纪N24（罕见）, 前纪P17（罕见）	100
红隼Prime	弓身	中纪K9（稀有）	45
Khora Prime	蓝图	古纪K9（稀有）, 中纪C5（罕见）, 中纪K6（稀有）, 前纪K4（稀有）	45
Khora Prime	机体蓝图	古纪C10（罕见）, 古纪G9（罕见）, 中纪N21（罕见）, 中纪D7（罕见）, 后纪G13（罕见）, 古纪S15（罕见）	100
Khora Prime	头部神经光元蓝图	中纪K8（稀有）, 中纪K7（稀有）, 中纪K5（稀有）, 后纪K8（稀有）	45
Khora Prime	系统蓝图	古纪R4（常见）, 后纪N11（常见）, 中纪L2（常见）, 古纪H7（常见）, 前纪P8（常见）, 中纪F3（常见）, 前纪A5（常见）, 前纪P9（常见）, 前纪G5（常见）	15
丧钟Prime	枪管	中纪K4（稀有）, 前纪K5（稀有）, 古纪K11（稀有）, 后纪K11（稀有）, 后纪K9（稀有）, 后纪K10（稀有）, 后纪K7（稀有）	45
丧钟Prime	蓝图	古纪S14（常见）, 前纪V7（常见）, 前纪N12（常见）, 后纪P4（常见）, 后纪B5（常见）, 前纪S13（常见）, 后纪W3（常见）, 古纪B11（常见）	15
丧钟Prime	枪机	古纪G6（罕见）, 古纪K10（稀有）, 前纪A3（罕见）, 中纪D7（罕见）, 前纪K6（稀有）, 前纪K4（罕见）, 前纪H4（罕见）, 后纪S15（罕见）	45
科加基Prime	蓝图	中纪B6（罕见）, 后纪C4（罕见）, 后纪P1（罕见）, 前纪M3（罕见）, 后纪V7（罕见）, 后纪K4（罕见）	100
科加基Prime	靴子	古纪L1（常见）, 古纪M7（常见）, 中纪G1（常见）, 前纪M2（常见）, 后纪T2（常见）, 后纪A3（常见）, 后纪A12（常见）	15
科加基Prime	拳套	古纪K2（稀有）, 前纪K1（稀有）, 古纪K5（稀有）, 中纪K1（稀有）, 中纪K2（稀有）	45
卡帕压力枪Prime	枪管	古纪K12（稀有）, 前纪K7（稀有）	45
卡帕压力枪Prime	蓝图	中纪C7（常见）, 中纪S20（常见）, 后纪Y2（常见）, 中纪G9（常见）	15
卡帕压力枪Prime	枪机	后纪V14（罕见）, 后纪A20（罕见）, 后纪N13（罕见）	100
皇家拐刃Prime	刀刃	古纪K3（稀有）, 后纪K3（稀有）, 后纪K2（稀有）, 中纪K3（稀有）, 后纪K5（稀有）, 前纪K2（稀有）, 后纪K4（稀有）	45
皇家拐刃Prime	蓝图	中纪C1（常见）, 后纪L3（常见）, 中纪Z8（常见）, 中纪Z4（常见）, 中纪L1（常见）, 前纪N7（常见）, 中纪A2（常见）, 后纪H3（常见）	15
皇家拐刃Prime	握柄	前纪D3（罕见）, 古纪T6（罕见）, 后纪L5（罕见）, 中纪S11（罕见）, 后纪G3（罕见）, 中纪B4（罕见）, 前纪A1（罕见）, 前纪B2（罕见）	100
翠雀Prime	枪管	中纪L3（稀有）, 中纪L2（稀有）, 中纪L4（稀有）, 后纪L6（稀有）, 古纪L6（稀有）	45
翠雀Prime	蓝图	后纪S16（常见）, 古纪X1（常见）, 古纪T12（常见）, 中纪H4（常见）, 前纪M4（常见）, 前纪B9（常见）, 前纪K6（常见）, 前纪H4（常见）	15
翠雀Prime	枪机	古纪P9（罕见）, 后纪G10（罕见）, 后纪A19（罕见）, 前纪G10（罕见）, 中纪D8（罕见）, 古纪G12（罕见）, 中纪F3（罕见）	100
翠雀Prime	枪托	古纪W3（罕见）, 前纪W3（罕见）, 古纪K10（罕见）, 中纪P7（罕见）, 古纪F3（罕见）, 中纪A12（罕见）, 后纪D5（罕见）	100
拉特昂Prime	枪管	后纪E1（常见）, 前纪E1（常见）, 后纪D4（常见）	15
拉特昂Prime	蓝图	古纪G1（常见）, 古纪L4（稀有）, 后纪L1（常见）	45
拉特昂Prime	枪机	后纪S2（常见）, 中纪B8（罕见）, 中纪S5（常见）	15
拉特昂Prime	枪托	前纪F4（常见）, 前纪F2（常见）, 古纪G2（常见）	15
Lavos Prime	蓝图	后纪Y1（罕见）, 古纪C14（罕见）, 后纪F3（罕见）	100
Lavos Prime	机体蓝图	古纪G14（常见）, 后纪D6（常见）, 中纪X1（常见）, 后纪C10（常见）	15
Lavos Prime	头部神经光元蓝图	中纪N24（罕见）, 后纪A20（罕见）, 前纪A8（罕见）	100
Lavos Prime	系统蓝图	前纪L4（稀有）, 古纪L7（稀有）, 前纪L3（稀有）, 古纪L5（稀有）	45
雷克斯Prime	枪管	后纪V14（常见）, 前纪N11（常见）, 后纪A2（常见）, 古纪N7（常见）, 后纪N5（常见）, 古纪B9（常见）, 后纪K1（常见）, 古纪V2（常见）, 前纪S5（常见）, 后纪M1（常见）, 古纪Y1（常见）, 古纪S14（常见）, 中纪Z5（常见）, 前纪L2（常见）, 古纪N13（常见）, 前纪Z5（常见）, 古纪P8（常见）, 中纪O3（常见）, 中纪A13（常见）, 中纪N3（常见）, 中纪A3（常见）, 古纪H2（常见）, 古纪N12（常见）, 中纪D6（常见）, 古纪A2（常见）, 后纪G13（常见）, 前纪V4（常见）, 中纪Q1（常见）, 前纪T3（常见）, 前纪T2（常见）, 前纪S13（常见）, 前纪S11（常见）, 前纪S9（常见）, 前纪P13（常见）, 后纪V7（常见）, 前纪P14（常见）, 前纪C10（常见）, 前纪C6（常见）, 古纪T2（常见）, 古纪L3（常见）, 中纪S1（常见）, 古纪B6（常见）, 后纪B6（常见）, 古纪N17（常见）	15
雷克斯Prime	蓝图	中纪V9（罕见）, 中纪T10（常见）, 后纪A2（罕见）, 古纪P9（常见）, 前纪D1（常见）, 后纪A9（常见）, 古纪P5（常见）, 后纪T12（常见）, 中纪P3（常见）, 古纪D6（罕见）, 古纪S7（常见）, 古纪S4（常见）, 中纪N2（常见）, 后纪F1（常见）, 中纪C4（常见）, 后纪G3（常见）, 后纪D3（常见）, 前纪H7（常见）, 中纪A9（罕见）, 中纪S10（常见）, 中纪Z2（常见）, 古纪A3（常见）, 前纪C3（常见）, 古纪N11（常见）, 前纪M4（常见）, 中纪E3（罕见）, 前纪N15（罕见）, 后纪S14（常见）, 前纪O6（罕见）, 古纪T11（罕见）, 前纪D4（罕见）, 中纪D10（常见）, 古纪V5（常见）, 古纪C3（常见）, 古纪K11（罕见）, 古纪R2（常见）, 中纪A11（常见）, 前纪P3（常见）, 古纪B11（常见）, 后纪O4（常见）, 后纪Z2（常见）	15
雷克斯Prime	枪机	后纪V10（常见）, 后纪D6（常见）, 中纪K9（常见）, 后纪A2（常见）, 后纪V8（常见）, 后纪S12（常见）, 后纪R2（常见）, 前纪T8（常见）, 后纪C7（常见）, 古纪B7（常见）, 后纪T9（常见）, 后纪O5（常见）, 中纪S16（常见）, 前纪N14（常见）, 后纪S16（常见）, 后纪N6（常见）, 后纪C1（常见）, 古纪G5（常见）, 中纪L3（常见）, 前纪W4（常见）, 古纪X1（常见）, 中纪W1（常见）, 后纪E2（常见）, 古纪P7（常见）, 后纪N2（常见）, 古纪K8（常见）, 中纪D8（常见）, 古纪B5（常见）, 中纪D9（常见）, 前纪H8（常见）, 中纪A7（常见）, 古纪H5（常见）, 古纪D1（常见）, 前纪N5（常见）, 古纪G7（常见）, 前纪A6（常见）, 前纪D2（常见）, 古纪M1（常见）, 中纪A8（常见）, 后纪H2（常见）, 后纪S15（常见）	15
Limbo Prime	蓝图	前纪Z1（罕见）, 中纪D4（罕见）, 中纪A9（罕见）, 中纪M2（罕见）, 中纪I1（罕见）, 前纪T3（罕见）	100
Limbo Prime	机体蓝图	前纪L1（稀有）, 后纪L5（稀有）, 前纪L2（稀有）, 后纪L3（稀有）, 中纪L1（稀有）, 古纪L3（稀有）	45
Limbo Prime	头部神经光元蓝图	后纪M4（罕见）, 后纪L2（稀有）, 古纪L1（稀有）, 古纪K8（罕见）, 古纪L2（稀有）	45
Limbo Prime	系统蓝图	中纪C1（常见）, 古纪B3（常见）, 后纪D3（常见）, 中纪R5（常见）, 中纪R3（常见）, 后纪T3（常见）, 前纪N7（常见）, 中纪A2（常见）, 古纪B6（常见）	15
Loki Prime	蓝图	后纪S2（常见）, 中纪V8（常见）, 前纪F3（常见）	15
Loki Prime	机体蓝图	古纪O2（罕见）, 古纪G2（罕见）	100
Loki Prime	头部神经光元蓝图	中纪E1（常见）, 前纪O3（常见）	15
Loki Prime	系统蓝图	后纪L4（稀有）, 后纪L1（稀有）	45
Mag Prime	蓝图	古纪M2（稀有）, 古纪M8（稀有）, 前纪M1（稀有）, 古纪M1（稀有）	45
Mag Prime	机体蓝图	前纪F4（罕见）, 前纪B3（罕见）, 前纪B1（罕见）, 中纪B3（罕见）	100
Mag Prime	头部神经光元蓝图	古纪B1（常见）, 中纪N9（常见）, 后纪V2（常见）, 后纪D4（罕见）	15
Mag Prime	系统蓝图	古纪L4（常见）, 后纪S4（常见）, 后纪R1（常见）, 中纪D1（常见）	15
麦格努斯Prime	枪管	后纪M5（稀有）, 前纪M5（稀有）, 后纪M2（稀有）, 中纪M4（稀有）	45
麦格努斯Prime	蓝图	后纪M5（常见）, 古纪Z3（常见）, 后纪C7（常见）, 古纪H8（常见）, 前纪B6（常见）, 后纪T10（常见）, 中纪N18（常见）, 后纪S14（常见）, 后纪K10（常见）, 前纪S15（常见）	15
麦格努斯Prime	枪机	后纪M5（罕见）, 后纪T8（罕见）, 中纪N22（罕见）, 中纪C3（罕见）, 中纪N19（罕见）, 中纪T5（罕见）, 中纪G4（罕见）, 中纪C2（罕见）	100
咀嚼金杖Prime	刀刃	古纪M10（稀有）, 前纪M4（稀有）, 中纪M5（稀有）, 后纪M6（稀有）, 古纪M9（稀有）	45
咀嚼金杖Prime	蓝图	中纪P6（罕见）, 后纪G12（罕见）, 古纪A8（罕见）, 古纪W4（罕见）, 前纪E6（罕见）, 中纪G9（罕见）, 后纪P6（罕见）	100
咀嚼金杖Prime	握柄	古纪G13（常见）, 古纪A6（常见）, 古纪C10（常见）, 后纪F2（常见）, 前纪N17（常见）, 前纪K7（常见）, 古纪S16（常见）	15
Mesa Prime	蓝图	前纪R2（罕见）, 先锋P1（常见）, 古纪P7（罕见）, 中纪Z3（罕见）, 中纪Z2（罕见）, 古纪N9（罕见）, 古纪D1（罕见）, 前纪P3（罕见）, 古纪C6（罕见）	100
Mesa Prime	机体蓝图	古纪R1（常见）, 后纪H4（常见）, 后纪M1（常见）, 中纪C1（常见）, 前纪C4（常见）, 前纪L2（常见）, 中纪A3（常见）, 先锋E1（常见）, 中纪R4（常见）, 古纪S10（常见）	15
Mesa Prime	头部神经光元蓝图	古纪M5（稀有）, 后纪M4（稀有）, 古纪M3（稀有）, 古纪M4（稀有）, 先锋M1（稀有）, 后纪M3（稀有）	45
Mesa Prime	系统蓝图	古纪D5（罕见）, 先锋C1（罕见）, 中纪M3（稀有）, 中纪M2（稀有）, 古纪M6（稀有）, 中纪H3（罕见）	45
Mirage Prime	蓝图	后纪M1（稀有）, 古纪M7（稀有）, 中纪M1（稀有）, 前纪M3（稀有）, 前纪M2（稀有）	45
Mirage Prime	机体蓝图	后纪H4（常见）, 古纪S7（常见）, 古纪K5（常见）, 中纪L1（常见）, 后纪A12（常见）, 前纪K2（常见）	15
Mirage Prime	头部神经光元蓝图	前纪H1（常见）, 中纪S9（常见）, 古纪Z1（常见）, 中纪B6（常见）, 中纪G1（常见）, 后纪T2（常见）, 前纪E5（常见）, 古纪W1（常见）	15
Mirage Prime	系统蓝图	后纪R2（罕见）, 前纪O2（罕见）, 后纪H5（罕见）, 中纪S12（罕见）, 中纪V6（罕见）, 中纪K2（罕见）	100
噬蛇弩Prime	枪管	中纪D8（常见）, 后纪S14（常见）, 前纪H8（常见）, 前纪C8（常见）, 前纪K4（常见）, 前纪H4（常见）, 后纪S10（常见）, 后纪K9（常见）	15
噬蛇弩Prime	蓝图	中纪N23（稀有）, 中纪N22（稀有）, 前纪N12（稀有）, 后纪N11（稀有）, 中纪N21（稀有）, 古纪N14（稀有）	45
噬蛇弩Prime	枪机	古纪C10（罕见）, 后纪B5（罕见）, 中纪M4（罕见）, 前纪O5（罕见）, 中纪F2（罕见）, 后纪G13（罕见）, 前纪D7（罕见）, 前纪P9（罕见）	100
噬蛇弩Prime	枪托	古纪Z3（罕见）, 古纪H8（罕见）, 古纪H6（罕见）, 古纪D6（罕见）, 前纪G5（罕见）	100
海波斯库拉对剑Prime	刀刃	后纪N5（稀有）, 中纪N10（稀有）, 中纪N8（稀有）, 古纪N9（稀有）	45
海波斯库拉对剑Prime	蓝图	后纪L2（常见）, 后纪L3（常见）, 古纪Z2（常见）, 前纪C3（常见）, 后纪V7（常见）, 中纪A6（常见）	15
海波斯库拉对剑Prime	握柄	前纪D3（罕见）, 前纪S7（罕见）, 古纪C2（罕见）, 中纪H3（罕见）, 古纪H1（罕见）	100
鹦鹉螺Prime	蓝图	古纪N18（稀有）, 中纪N24（稀有）, 前纪N17（稀有）, 古纪N17（稀有）	45
鹦鹉螺Prime	外壳	中纪P10（常见）, 古纪L7（常见）, 古纪Y1（常见）, 古纪A7（常见）, 中纪G7（常见）, 中纪W2（常见）, 后纪V13（常见）	15
鹦鹉螺Prime	头部	古纪N19（稀有）, 后纪N13（稀有）, 古纪N16（稀有）, 古纪N15（稀有）	45
鹦鹉螺Prime	系统	古纪Q2（罕见）, 中纪T10（罕见）, 古纪Q1（罕见）, 后纪S16（罕见）, 前纪V11（罕见）	100
鹦鹉螺Prime	系统蓝图	前纪A10（罕见）	100
Nekros Prime	蓝图	后纪N3（稀有）, 古纪H10（罕见）, 前纪N3（稀有）, 古纪T3（罕见）, 古纪N3（稀有）	45
Nekros Prime	机体蓝图	前纪K1（常见）, 后纪N4（常见）, 后纪S6（常见）, 古纪V4（常见）, 古纪N1（常见）, 中纪Z1（常见）, 后纪G1（常见）, 中纪G5（常见）, 前纪S3（常见）	15
Nekros Prime	头部神经光元蓝图	后纪N5（罕见）, 前纪O4（罕见）, 前纪F1（罕见）, 古纪K11（罕见）	100
Nekros Prime	系统蓝图	中纪N11（稀有）, 前纪N16（稀有）, 中纪N7（稀有）, 中纪N3（稀有）, 前纪N5（稀有）, 古纪N2（稀有）	45
Nezha Prime	蓝图	古纪H4（罕见）, 前纪D6（罕见）, 后纪M2（罕见）, 后纪G6（罕见）, 古纪O3（罕见）, 后纪S9（罕见）, 前纪H2（罕见）, 前纪C6（罕见）	100
Nezha Prime	机体蓝图	中纪N13（稀有）, 中纪N17（稀有）, 古纪N11（稀有）, 后纪N7（稀有）, 前纪N15（稀有）	45
Nezha Prime	头部神经光元蓝图	古纪N8（稀有）, 中纪N15（稀有）, 中纪T8（罕见）, 古纪N6（稀有）, 古纪N10（稀有）, 后纪N8（稀有）, 中纪N20（稀有）	45
Nezha Prime	系统蓝图	后纪S12（常见）, 中纪D3（常见）, 后纪O5（常见）, 中纪D2（常见）, 前纪P7（常见）, 古纪N12（常见）, 中纪N16（常见）, 古纪H3（常见）, 古纪G7（常见）	15
Nidus Prime	蓝图	后纪A14（罕见）, 前纪N12（罕见）, 古纪K10（罕见）, 前纪R5（罕见）, 古纪S17（罕见）, 前纪P8（罕见）, 古纪T9（罕见）, 古纪R2（罕见）	100
Nidus Prime	机体蓝图	古纪N7（稀有）, 后纪N12（稀有）, 前纪N14（稀有）, 中纪N18（稀有）, 古纪N12（稀有）, 前纪N13（稀有）	45
Nidus Prime	头部神经光元蓝图	后纪N10（稀有）, 中纪N16（稀有）, 中纪S19（罕见）, 后纪N9（稀有）	45
Nidus Prime	系统蓝图	中纪N19（常见）, 前纪A3（常见）, 中纪C2（常见）, 前纪H2（常见）, 前纪D7（常见）, 前纪B5（常见）, 中纪A8（常见）, 前纪P9（常见）	15
侍刃Prime	刀刃	前纪N4（稀有）, 中纪S10（罕见）, 前纪V2（稀有）, 中纪N4（稀有）, 前纪S15（罕见）, 后纪S5（罕见）	45
侍刃Prime	蓝图	后纪N12（常见）, 后纪N6（常见）, 中纪S8（罕见）, 中纪N5（稀有）, 后纪A1（稀有）, 中纪S13（常见）, 古纪V6（常见）	45
侍刃Prime	握柄	后纪N4（稀有）, 前纪N8（稀有）, 后纪N6（稀有）, 中纪N19（稀有）, 后纪N2（稀有）, 中纪N6（稀有）	45
降灵追猎者Prime	蓝图	前纪T4（常见）, 后纪T9（常见）, 前纪L1（常见）, 中纪S14（常见）, 后纪G3（常见）, 中纪R2（常见）, 中纪P1（常见）, 前纪K3（常见）	15
降灵追猎者Prime	链条	古纪D4（罕见）, 中纪R3（罕见）, 古纪D3（罕见）, 中纪R4（罕见）, 中纪Z9（罕见）, 后纪P1（罕见）, 古纪D1（罕见）	100
降灵追猎者Prime	握柄	前纪N10（稀有）, 古纪N13（稀有）, 中纪N14（稀有）, 古纪N4（稀有）, 前纪N7（稀有）, 前纪N9（稀有）, 古纪N5（稀有）	45
Nova Prime	蓝图	中纪N2（罕见）, 后纪S4（罕见）, 前纪D5（罕见）	100
Nova Prime	机体蓝图	中纪V1（稀有）, 古纪N1（稀有）, 中纪N12（稀有）, 中纪N9（稀有）	45
Nova Prime	头部神经光元蓝图	古纪C1（常见）, 古纪K4（常见）, 古纪M2（常见）, 前纪C1（常见）	15
Nova Prime	系统蓝图	古纪C1（常见）, 前纪B3（常见）, 前纪S1（常见）, 后纪S7（常见）, 中纪S2（常见）	15
Nyx Prime	蓝图	中纪V9（常见）, 古纪S2（常见）, 中纪V1（常见）, 古纪B4（常见）	15
Nyx Prime	机体蓝图	后纪S8（罕见）, 中纪N1（稀有）, 中纪R1（罕见）	45
Nyx Prime	头部神经光元蓝图	前纪N11（稀有）, 前纪N6（稀有）, 前纪N1（稀有）	45
Nyx Prime	系统蓝图	古纪C7（罕见）, 中纪S2（罕见）, 后纪S3（罕见）	100
Oberon Prime	蓝图	前纪N4（罕见）, 前纪H1（罕见）, 中纪S16（罕见）, 古纪M3（罕见）, 中纪B5（罕见）, 古纪S9（罕见）, 古纪H2（罕见）	100
Oberon Prime	机体蓝图	后纪N5（常见）, 古纪B9（常见）, 前纪P1（常见）, 古纪B5（常见）, 前纪B2（常见）, 古纪T3（常见）, 后纪H2（常见）	15
Oberon Prime	头部神经光元蓝图	前纪O4（稀有）, 古纪O1（稀有）, 前纪O2（稀有）, 前纪O6（稀有）, 前纪O1（稀有）	45
Oberon Prime	系统蓝图	后纪A15（罕见）, 后纪O2（稀有）, 中纪N11（罕见）, 后纪O1（稀有）, 后纪O4（稀有）, 后纪O3（稀有）	45
Octavia Prime	蓝图	后纪O5（稀有）, 古纪O3（稀有）, 前纪O5（稀有）	45
Octavia Prime	机体蓝图	后纪S11（罕见）, 古纪K7（罕见）, 中纪Z7（罕见）, 前纪N15（罕见）, 前纪S11（罕见）, 后纪K8（罕见）, 中纪A5（罕见）	100
Octavia Prime	头部神经光元蓝图	后纪K6（常见）, 前纪B6（常见）, 古纪G5（常见）, 后纪P5（常见）, 古纪G4（常见）, 古纪G3（常见）, 中纪S15（常见）	15
Octavia Prime	系统蓝图	古纪N7（常见）, 前纪D6（常见）, 古纪C9（常见）, 中纪T8（常见）, 后纪N7（常见）, 前纪H3（常见）, 前纪G4（常见）, 古纪R2（常见）	15
陨蜓Prime	蓝图	后纪V8（罕见）, 后纪L4（罕见）, 古纪F1（罕见）, 前纪C2（罕见）, 前纪S1（罕见）	100
陨蜓Prime	外甲蓝图	中纪O1（常见）, 后纪K1（常见）, 中纪V8（常见）, 古纪K1（常见）, 后纪V4（常见）, 后纪T1（常见）	15
陨蜓Prime	系统蓝图	后纪V8（常见）, 前纪O3（常见）, 古纪F2（常见）, 后纪V1（常见）, 中纪N3（常见）	15
陨蜓Prime	机翼蓝图	中纪O1（稀有）, 前纪O3（稀有）, 古纪O2（稀有）, 后纪N1（罕见）	45
翁Prime	刀刃	后纪N13（常见）, 古纪L7（常见）, 后纪B8（常见）, 前纪T7（常见）, 古纪L5（常见）, 后纪C10（常见）, 古纪C12（常见）	15
翁Prime	蓝图	古纪O4（稀有）, 后纪O6（稀有）, 中纪O2（稀有）, 中纪O3（稀有）	45
翁Prime	握柄	前纪G7（罕见）, 古纪Z4（罕见）, 中纪G8（罕见）, 前纪L3（罕见）, 前纪Y1（罕见）, 前纪A8（罕见）, 中纪Z11（罕见）	100
欧特鲁斯Prime	刀刃	后纪D6（罕见）, 前纪D1（罕见）, 古纪B2（罕见）, 前纪A7（罕见）, 后纪T10（罕见）, 古纪B3（罕见）, 古纪T12（罕见）, 前纪W3（罕见）, 古纪A9（罕见）, 古纪C4（罕见）, 中纪P9（罕见）, 古纪B5（罕见）, 中纪N16（罕见）, 前纪K6（罕见）, 前纪I1（罕见）	100
